,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,name,1st_categories
71,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,秘魯烤雞 Polleria,25.029191292021153,121.51712000370024,Latin American Restaurant,Latin American Restaurant,Food
72,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,Ebisu Curry & Coffee,25.030014862397923,121.5163835190739,Japanese Restaurant,Japanese Restaurant,Food
73,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,樂埔町 Leputing,25.02976329471702,121.5221337575416,Japanese Restaurant,Japanese Restaurant,Food
74,"Neihu Dist., Taipei City",25.08370623,121.5923828,酌屋燒肉居酒屋,25.082220829260006,121.59671033459335,Japanese Restaurant,Japanese Restaurant,Food
75,"Neihu Dist., Taipei City",25.08370623,121.5923828,天酥陀 Tensoto,25.08417455066694,121.59490486109996,Japanese Restaurant,Japanese Restaurant,Food
76,"Wenshan Dist., Taipei City",24.98857934,121.5736082,松町和風小舖,24.9859669710974,121.57072542078288,Japanese Restaurant,Japanese Restaurant,Food
77,"Wenshan Dist., Taipei City",24.98857934,121.5736082,樂山日式食堂,24.988862106715274,121.5736888487474,Japanese Restaurant,Japanese Restaurant,Food
78,"Banqiao Dist., New Taipei City",25.01186453,121.45796750000001,吉野家 Yoshinoya,25.009090554024144,121.45863751389642,Japanese Restaurant,Japanese Restaurant,Food
79,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,Chun Shui Tang (春水堂人文茶館),25.036782580751314,121.51903167202113,Tea Room,Tea Room,Food
80,"Datong Dist., Taipei City",25.06342433,121.51304170000002,林華泰茶行,25.06020191734349,121.51350087529309,Tea Room,Tea Room,Food
81,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,琅茶,25.057365,121.560363,Tea Room,Tea Room,Food
82,"Da’an Dist., Taipei City",25.02677012,121.5434446,春山茶水舖,25.023929514711835,121.54340131130726,Tea Room,Tea Room,Food
83,"Neihu Dist., Taipei City",25.08370623,121.5923828,Wired Chaya,25.08397,121.594527,Tea Room,Tea Room,Food
84,"Yonghe Dist., New Taipei City",25.00810199,121.516745,Spade Tea (十杯手作茶飲),25.003788345390895,121.51732689224457,Tea Room,Tea Room,Food
85,"Yonghe Dist., New Taipei City",25.00810199,121.516745,圓石禪飲 永和店,25.007887719311512,121.51410296790509,Tea Room,Tea Room,Food
86,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,肉舖廚房 Butcher's kitchen,25.031246782096318,121.52078414174787,Steakhouse,Steakhouse,Food
87,"Yonghe Dist., New Taipei City",25.00810199,121.516745,阿里小廚,25.00822,121.513679,Steakhouse,Steakhouse,Food
88,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,原味咖哩屋,25.03208319855241,121.51563996260933,Indian Restaurant,Indian Restaurant,Food
89,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,頂呱呱 Mr. TKK Café,25.028762221393585,121.51914336334161,Fried Chicken Joint,Fried Chicken Joint,Food
90,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,Hangzhou Xiaolong Tangbao (杭州小籠湯包),25.034114906531883,121.52362115414743,Dumpling Restaurant,Dumpling Restaurant,Food
91,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,盛園絲瓜小籠湯包,25.033941433042905,121.52373240673758,Dumpling Restaurant,Dumpling Restaurant,Food
92,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,蘇杭點心店,25.028847793552266,121.521150161016,Dumpling Restaurant,Dumpling Restaurant,Food
93,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,正宗青島水餃,25.060818777123906,121.56153039711333,Dumpling Restaurant,Dumpling Restaurant,Food
94,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,周胖子餃子館,25.05844624384958,121.55769436839208,Dumpling Restaurant,Dumpling Restaurant,Food
95,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,上海生煎包,25.058019391422338,121.56070590019226,Dumpling Restaurant,Dumpling Restaurant,Food
96,"Yonghe Dist., New Taipei City",25.00810199,121.516745,佳佳香鍋貼,25.00752176094255,121.51347022058344,Dumpling Restaurant,Dumpling Restaurant,Food
97,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,四川麵王,25.032646961265097,121.51768332779612,Noodle House,Noodle House,Food
98,"Datong Dist., Taipei City",25.06342433,121.51304170000002,賣麵炎仔,25.06110997083368,121.50997365465994,Noodle House,Noodle House,Food
99,"Datong Dist., Taipei City",25.06342433,121.51304170000002,炒麵專家,25.065357040286184,121.51117086410522,Noodle House,Noodle House,Food
100,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,戴記涼麵,25.060798567535983,121.56132278570085,Noodle House,Noodle House,Food
101,"Da’an Dist., Taipei City",25.02677012,121.5434446,蔣記家薌麵,25.026396045584693,121.5470994830289,Noodle House,Noodle House,Food
